64996386		A.C.T.H. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Non commercialisée	
67803383	BUDESONIDE EVOLUGEN 1 mg/2 mL, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0384149
68014280	BUDESONIDE H3 SANTE 100 microgrammes/dose, poudre pour inhalation	poudre pour inhalation	inhalée	Autorisation abrogée	Procédure nationale	Non commercialisée	0144061
64477929	BUDESONIDE H3 SANTE 200 microgrammes/dose, poudre pour inhalation	poudre pour inhalation	inhalée	Autorisation abrogée	Procédure nationale	Non commercialisée	0143629
65319227	BUDESONIDE H3 SANTE 400 microgrammes/dose, poudre pour inhalation	poudre pour inhalation	inhalée	Autorisation abrogée	Procédure nationale	Non commercialisée	0143722
64527905	BUDESONIDE ISOMED 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation abrogée	Procédure nationale	Non commercialisée	0258405
63036604	BUDESONIDE SANDOZ 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0426878
61354914	BUDESONIDE SANDOZ 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0426877
67461691	BUDESONIDE SANDOZ 64 microgrammes/dose, suspension pour pulvérisation nasale	suspension pour pulvérisation	nasale	Autorisation active	Procédure décentralisée	Commercialisée	0426632
67802737	BUDESONIDE TEVA 0,5 mg/2 mL, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0415072
65648500	BUDESONIDE TEVA 1 mg/2 mL, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0415071
60618713	BUDESONIDE TEVA 200 microgrammes, poudre pour inhalation en gélule	poudre pour inhalation en gélule	inhalée	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0257153
62029311	BUDESONIDE TEVA 3 mg, gélule gastro-résistante	gélule gastro-résistant(e)	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0425876
62015742	BUDESONIDE TEVA 400 microgrammes, poudre pour inhalation en gélule	poudre pour inhalation en gélule	inhalée	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0257154
61900434	BUDESONIDE TEVA SANTE 3 mg, gélule à libération modifiée	gélule à libération modifiée	orale	Autorisation active	Procédure décentralisée	Commercialisée	0406818
63163772	BUDESONIDE VIATRIS 0,50 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0440925
60724061	BUDESONIDE VIATRIS 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0440885
60512521	BUDESONIDE ZENTIVA 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0420519
64716254	BUDESONIDE ZENTIVA 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation active	Procédure nationale	Commercialisée	0420518
69728399	BUDESONIDE/FORMOTEROL SANDOZ FORSPIRO 160 microgrammes/4,5 microgrammes/dose, poudre pour inhalation en récipient unidose	poudre pour inhalation	inhalée	Autorisation active	Procédure décentralisée	Commercialisée	0379337
60038525	BUDESONIDE/FORMOTEROL SANDOZ FORSPIRO 320 microgrammes/9 microgrammes/dose, poudre pour inhalation en récipient unidose	poudre pour inhalation	inhalée	Autorisation active	Procédure décentralisée	Commercialisée	0374206
62010688	BUDFOR 100 microgrammes/6 microgrammes par dose, poudre pour inhalation	poudre pour inhalation	inhalée	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0191252
60170943	BUDFOR 200 microgrammes/6 microgrammes par dose, poudre pour inhalation	poudre pour inhalation	inhalée	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0191244
63863963	BUDFOR 400 microgrammes/12 microgrammes par dose, poudre pour inhalation	poudre pour inhalation	inhalée	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0191249
66368049	BUFAL 5 POUR CENT, crème en tube	crème pour application	cutanée	Autorisation retirée	Procédure nationale	Non commercialisée	
67312847	BUFEXAMAC COOPER 5 POUR CENT, crème	crème	cutanée	Autorisation retirée	Procédure nationale	Non commercialisée	
66017477	BUFEXAMAC NOVALIS 5 POUR CENT, crème	crème	cutanée	Autorisation retirée	Procédure nationale	Non commercialisée	
61079012	BUFLOMEDIL ACTAVIS 150 mg, comprimé	comprimé	orale	Autorisation suspendue	Procédure nationale	Non commercialisée	0161619
69899197	BUFLOMEDIL ARROW 150 mg, comprimé	comprimé	orale	Autorisation suspendue	Procédure nationale	Non commercialisée	0124839
68747375	BUFLOMEDIL ARROW 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0082629
65902347	BUFLOMEDIL BIOGARAN 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0124934
67594275	BUFLOMEDIL BIOGARAN 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0074883
64729846	BUFLOMEDIL CRISTERS 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation suspendue	Procédure nationale	Non commercialisée	0188452
64600958	BUFLOMEDIL EG 150 mg, comprimé	comprimé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0124851
64383376	BUFLOMEDIL EG 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation suspendue	Procédure nationale	Non commercialisée	0124830
60323392	BUFLOMEDIL EG 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0075646
68500745	BUFLOMEDIL EG 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0052931
62701524	BUFLOMEDIL G GAM 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0124846
66446206	BUFLOMEDIL G GAM 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0097073
68232998	BUFLOMEDIL GNR 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
68064340	BUFLOMEDIL GNR 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0046767
64599107	BUFLOMEDIL L LAFON 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	
65025581	BUFLOMEDIL L.LAFON 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	
65652826	BUFLOMEDIL L.LAFON 50 mg/5 ml, solution injectable	solution injectable	intramusculaire;intraveineuse	Autorisation archivée	Procédure nationale	Non commercialisée	
64921106	BUFLOMEDIL MERCK 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	
62227072	BUFLOMEDIL MYLAN 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0166143
65369963	BUFLOMEDIL PAN MEDICA 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0075648
65571616	BUFLOMEDIL QUALIMED 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0165344
60212335	BUFLOMEDIL QUALIMED 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0061502
68675659	BUFLOMEDIL RATIOPHARM 0,4 g/40 ml, solution injectable pour perfusion	solution injectable pour perfusion	intraveineuse	Autorisation archivée	Procédure nationale	Non commercialisée	
68118585	BUFLOMEDIL RATIOPHARM 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0165396
60484431	BUFLOMEDIL RATIOPHARM 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0082770
67937585	BUFLOMEDIL RPG 150 mg, comprimé	comprimé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0164450
63782810	BUFLOMEDIL RPG 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0166232
69073577	BUFLOMEDIL RPG 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0081204
69918135	BUFLOMEDIL RPG 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0061521
64487713	BUFLOMEDIL SANDOZ 150 mg, comprimé	comprimé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0124929
69401935	BUFLOMEDIL SANDOZ 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0074029
65599010	BUFLOMEDIL SUBSTIPHARM 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0074922
64969108	BUFLOMEDIL TEVA 150 mg, comprimé	comprimé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0166918
62991878	BUFLOMEDIL TEVA 150 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0200946
64192905	BUFLOMEDIL TEVA 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0074795
66944947	BUFLOMEDIL TEVA 300 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0082915
65058033	BUFLOMEDIL WINTHROP 150 mg, comprimé	comprimé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0124853
66674081	BUFLOMEDIL WINTHROP 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0076341
69165431	BUFLOMEDIL ZYDUS 150 mg, comprimé	comprimé	orale	Autorisation suspendue	Procédure nationale	Non commercialisée	0124838
64430121	BUFLOMEDIL ZYDUS 300 mg, comprimé	comprimé	orale	Autorisation retirée	Procédure nationale	Non commercialisée	0074571
66906124	BUGVI 5 mg/mL, poudre pour dispersion pour perfusion	poudre pour dispersion pour perfusion	intraveineuse	Autorisation active	Procédure décentralisée	Commercialisée	0427161
60178281	BULBINUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
63574567	BULBINUM WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	granules et  solution en gouttes en gouttes et  crème	cutanée;orale;sublinguale	Autorisation archivée	Enreg homéo (Proc. Nat.)	Non commercialisée	
62397135	BUNOPTIL 0,5 POUR CENT, collyre	collyre	ophtalmique	Autorisation abrogée	Procédure nationale	Non commercialisée	
61325485	BUPARID 0,25 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0276194
61131174	BUPARID 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0274292
60516295	BUPARID 1 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose	suspension pour inhalation par nébuliseur	inhalée	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0274291
60913795	BUPENSAN 1 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0428249
63339843	BUPENSAN 12 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0428251
63644040	BUPENSAN 16 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0428252
67404879	BUPENSAN 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0428253
61429847	BUPENSAN 4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0428254
65485551	BUPENSAN 6 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0428250
69740106	BUPENSAN 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0428255
61284070	BUPIFORAN 0,25 POUR CENT (12,5 mg/5 ml) ADRENALINE 1/200 000, solution injectable	solution injectable	intraveineuse	Autorisation abrogée	Procédure nationale	Non commercialisée	
61896338	BUPIFORAN 0,25 POUR CENT (25 mg/10 ml) ADRENALINE 1/200 000, solution injectable	solution injectable	intraveineuse	Autorisation abrogée	Procédure nationale	Non commercialisée	
67852715	BUPIFORAN 0,25 POUR CENT, solution injectable en ampoule	solution injectable	péridurale;périneurale	Autorisation archivée	Procédure nationale	Non commercialisée	
68468023	BUPIFORAN 0,50 POUR CENT, solution injectable en ampoule	solution injectable	péridurale;périneurale	Autorisation archivée	Procédure nationale	Non commercialisée	0152445
64523102	BUPIFORAN ADRENALINE 0,50 POUR CENT (25 mg/5 ml), solution injectable en ampoule	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
65012534	BUPIFORAN ADRENALINE 0,50 POUR CENT (50 mg/10 ml), solution injectable en ampoule	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
63699439	BUPIVACAINE ACCORD 2,5 mg/mL, solution injectable	solution injectable	infiltration;intraarticulaire;péridurale;périneurale	Autorisation archivée	Procédure décentralisée	Non commercialisée	0420300
61201295	BUPIVACAINE ACCORD 5 mg/mL, solution injectable	solution injectable	infiltration;intraarticulaire;péridurale;périneurale	Autorisation archivée	Procédure décentralisée	Non commercialisée	0420301
61113653	BUPIVACAINE ADRENALINE MERCK 0,25 POUR CENT (50 mg/20 ml), solution injectable en flacon	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
64897484	BUPIVACAINE ADRENALINE MERCK 0,50 POUR CENT (100 mg/20 ml), solution injectable en flacon	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
69372857	BUPIVACAINE ADRENALINE QUALIMED (25 mg/10 ml), solution injectable	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
66677921	BUPIVACAINE ADRENALINE QUALIMED (50 mg/10 ml), solution injectable en ampoule	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
64387061	BUPIVACAINE AGUETTANT 2,5 mg/mL ADRENALINE, solution injectable	solution injectable	péridurale;périneurale	Autorisation abrogée	Procédure nationale	Non commercialisée	0131727
66563273	BUPIVACAINE AGUETTANT 2,5 mg/ml, solution injectable	solution injectable	infiltration;intrathécale;péridurale;périneurale	Autorisation active	Procédure nationale	Commercialisée	0378977
61200325	BUPIVACAINE AGUETTANT 5 mg/mL ADRENALINE, solution injectable	solution injectable	péridurale;périneurale	Autorisation abrogée	Procédure nationale	Non commercialisée	0131641
65603284	BUPIVACAINE AGUETTANT 5 mg/ml, solution injectable	solution injectable	infiltration;intrathécale;péridurale;périneurale	Autorisation active	Procédure nationale	Commercialisée	0378976
64343830	BUPIVACAINE B BRAUN 0,25 POUR CENT (2,5 mg/ml), solution injectable	solution injectable	péridurale;périneurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
69776928	BUPIVACAINE B BRAUN 0,50 POUR CENT (5 mg/ml), solution injectable	solution injectable	péridurale;périneurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
60096642	BUPIVACAINE CHLORHYDRATE QUALIMED 150 mg/20 ml, solution injectable en flacon	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
62433994	BUPIVACAINE CHLORHYDRATE QUALIMED 75 mg/10 ml,solution injectable en ampoule	solution injectable	péridurale	Autorisation abrogée	Procédure nationale	Non commercialisée	
64512248	BUPIVACAINE MYLAN 2,5 mg/ml, solution injectable en flacon	solution injectable	péridurale;périneurale	Autorisation abrogée	Procédure nationale	Non commercialisée	0297546
65367122	BUPIVACAINE MYLAN 5 mg/ml, solution injectable en flacon	solution injectable	péridurale;périneurale	Autorisation abrogée	Procédure nationale	Non commercialisée	0359695
61897212	BUPIVACAINE NORIDEM 2,5 mg/mL, solution injectable	solution injectable	infiltration;intraarticulaire;péridurale;périneurale	Autorisation active	Procédure décentralisée	Non commercialisée	0441540
61248028	BUPIVACAINE NORIDEM 5 mg/mL, solution injectable	solution injectable	infiltration;intraarticulaire;péridurale;périneurale	Autorisation active	Procédure décentralisée	Non commercialisée	0441541
62837780	BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT 5 mg/ml, solution injectable (voie intrarachidienne)	solution injectable	intrathécale	Autorisation active	Procédure nationale	Commercialisée	0378978
61578015	BUPIVACAINE VIATRIS 20 mg/4 ml, solution injectable pour voie intra rachidienne en ampoule	solution injectable	intrathécale	Autorisation active	Procédure nationale	Commercialisée	0390721
60880733	BUPRADEX 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0271239
66427647	BUPRADEX 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0271238
64231468	BUPRADEX 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0271262
61690548	BUPRENORPHINE ABBOTT 0,3 mg/ml, solution injectable en cartouche	solution injectable	intramusculaire;intraveineuse;sous-cutanée	Autorisation abrogée	Procédure nationale	Non commercialisée	
62368639	BUPRENORPHINE ARROW 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0432226
67148878	BUPRENORPHINE ARROW 1 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0433248
69000305	BUPRENORPHINE ARROW 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0432227
65343573	BUPRENORPHINE ARROW 4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0433249
60204573	BUPRENORPHINE ARROW 6 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0433250
65021818	BUPRENORPHINE ARROW 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0432228
61127343	BUPRENORPHINE ARROW GENERIQUES 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0251550
68191206	BUPRENORPHINE ARROW GENERIQUES 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0251551
64160170	BUPRENORPHINE ARROW GENERIQUES 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0251552
68962100	BUPRENORPHINE BIOGARAN 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0425836
60489193	BUPRENORPHINE BIOGARAN 1 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0444695
61409218	BUPRENORPHINE BIOGARAN 1 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0187674
62927306	BUPRENORPHINE BIOGARAN 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0425837
66317108	BUPRENORPHINE BIOGARAN 4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0445991
66046685	BUPRENORPHINE BIOGARAN 4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0187467
64327783	BUPRENORPHINE BIOGARAN 6 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0444698
62562957	BUPRENORPHINE BIOGARAN 6 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0187675
62767225	BUPRENORPHINE BIOGARAN 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0425838
63036255	BUPRENORPHINE CRISTERS 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0346568
63120714	BUPRENORPHINE CRISTERS 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0346569
66558098	BUPRENORPHINE CRISTERS 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0346570
67032076	BUPRENORPHINE EG 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure nationale	Non commercialisée	0403224
68314018	BUPRENORPHINE EG 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0403815
61849961	BUPRENORPHINE EG 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0403816
60825669	BUPRENORPHINE ETHYPHARM 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0236046
60303692	BUPRENORPHINE ETHYPHARM 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0235798
64852927	BUPRENORPHINE ETHYPHARM 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Non commercialisée	0235793
68055124	BUPRENORPHINE SANDOZ 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0437859
66009498	BUPRENORPHINE SANDOZ 1 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0440769
63516304	BUPRENORPHINE SANDOZ 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0437860
62189294	BUPRENORPHINE SANDOZ 4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0440771
60590630	BUPRENORPHINE SANDOZ 6 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0440772
63631623	BUPRENORPHINE SANDOZ 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0437863
65222447	BUPRENORPHINE SUN 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure décentralisée	Non commercialisée	0201207
62638209	BUPRENORPHINE SUN 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure décentralisée	Non commercialisée	0201203
67406111	BUPRENORPHINE TEVA 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0427500
69458263	BUPRENORPHINE TEVA 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0427501
61872472	BUPRENORPHINE TEVA 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0427502
64738197	BUPRENORPHINE TORRENT 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation abrogée	Procédure nationale	Non commercialisée	0282097
62402600	BUPRENORPHINE TORRENT 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation abrogée	Procédure nationale	Non commercialisée	0282098
65710222	BUPRENORPHINE TORRENT 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation abrogée	Procédure nationale	Non commercialisée	0282099
61688718	BUPRENORPHINE VIATRIS 0,4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0429711
65740589	BUPRENORPHINE VIATRIS 1 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0429714
61001138	BUPRENORPHINE VIATRIS 2 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0429712
60714918	BUPRENORPHINE VIATRIS 4 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0429715
65609084	BUPRENORPHINE VIATRIS 6 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0429716
64644709	BUPRENORPHINE VIATRIS 8 mg, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure nationale	Commercialisée	0429713
61740691	BUPRENORPHINE/NALOXONE ARROW 2 mg/0,5 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation active	Procédure décentralisée	Non commercialisée	0430669
67872447	BUPRENORPHINE/NALOXONE ARROW 4 mg/1 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0416244
67154226	BUPRENORPHINE/NALOXONE ARROW 8 mg/2 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0430670
65353628	BUPRENORPHINE/NALOXONE G.L. PHARMA 2 mg/0,5 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation active	Procédure de reconnaissance mutuelle	Non commercialisée	0427409
61278854	BUPRENORPHINE/NALOXONE G.L. PHARMA 4 mg/1 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation active	Procédure de reconnaissance mutuelle	Non commercialisée	0427410
67421241	BUPRENORPHINE/NALOXONE G.L. PHARMA 8 mg/2 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation active	Procédure de reconnaissance mutuelle	Non commercialisée	0427411
69658214	BUPRENORPHINE/NALOXONE VIATRIS 2 mg/0,5 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0427390
68656947	BUPRENORPHINE/NALOXONE VIATRIS 8 mg/2 mg, comprimé sublingual sécable	comprimé sécable	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0427391
65800367	BURINEX 0,5 mg/2 ml IV, solution injectable	solution injectable	intraveineuse	Autorisation abrogée	Procédure nationale	Non commercialisée	
68232635	BURINEX 1 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0446335
62184938	BURINEX 2 mg, comprimé	comprimé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
61834055	BURINEX 2 mg/4 ml IV, solution injectable en ampoule	solution injectable	intraveineuse	Autorisation active	Procédure nationale	Commercialisée	0426557
67563415	BURINEX 5 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0446336
65617686	BURINEX 5 mg/20 ml IV, solution injectable en ampoule	solution injectable	intraveineuse	Autorisation abrogée	Procédure nationale	Non commercialisée	
61211460	BURINEX AMILORIDE 1 mg/5 mg, comprimé	comprimé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
64490111	BUSCOPAN 10 mg, comprimé enrobé	comprimé enrobé	orale	Autorisation active	Procédure nationale	Non commercialisée	0405789
