64996386		A.C.T.H. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Non commercialisée	
67138439	ABENOX 10 000 UI (100 mg)/1 ml, solution injectable en seringue préremplie	solution injectable	intraveineuse;sous-cutanée;voie extracorporelle autre	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0406293
65710304	ABENOX 2 000 UI (20 mg)/0,2 ml solution injectable en seringue préremplie	solution injectable	intraveineuse;sous-cutanée;voie extracorporelle autre	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0406290
64116811	ABENOX 4 000 UI (40 mg)/0,4 ml, solution injectable en seringue préremplie	solution injectable	intraveineuse;sous-cutanée;voie extracorporelle autre	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0406291
62497096	ABENOX 6 000 UI (60 mg)/0,6 ml, solution injectable en seringue préremplie	solution injectable	intraveineuse;sous-cutanée;voie extracorporelle autre	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0406292
61968759	ABENOX 8 000 UI (80 mg)/0,8 ml, solution injectable en seringue préremplie	solution injectable	intraveineuse;sous-cutanée;voie extracorporelle autre	Autorisation archivée	Procédure de reconnaissance mutuelle	Non commercialisée	0395507
67527942	ABEREL 0,025 POUR CENT, gel pour application cutanée	gel pour application	cutanée	Autorisation abrogée	Procédure nationale	Non commercialisée	
64144209	ABEREL 0,05 POUR CENT (0,7 mg/1,4 ml), compresse imprégnée	compresse imprégné(e)	cutanée	Autorisation abrogée	Procédure nationale	Non commercialisée	
65693157	ABEREL 0,1 POUR CENT, solution pour application cutanée	solution pour application	cutanée	Autorisation abrogée	Procédure nationale	Non commercialisée	
67397826	ABEVMY 25 mg/mL, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse	Autorisation active	Procédure centralisée	Commercialisée	
60538772	ABIES CANADENSIS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
65698396	ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
63075735	ABIES PECTINATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
69985792	ABIES PECTINATA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
62425595	ABIES PECTINATA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  solution en gouttes en gouttes	orale;sublinguale	Autorisation archivée	Enreg homéo (Proc. Nat.)	Non commercialisée	
64055988	ABILIFY 1 mg/mL, solution buvable	solution buvable	orale	Autorisation active	Procédure centralisée	Commercialisée	
65198099	ABILIFY 10 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Commercialisée	
61815891	ABILIFY 10 mg, comprimé orodispersible	comprimé orodispersible	orale	Autorisation active	Procédure centralisée	Commercialisée	
64224801	ABILIFY 15 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Commercialisée	
66791654	ABILIFY 15 mg, comprimé orodispersible	comprimé orodispersible	orale	Autorisation active	Procédure centralisée	Commercialisée	
61313611	ABILIFY 30 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Non commercialisée	
68455780	ABILIFY 30 mg, comprimé orodispersible	comprimé orodispersible	orale	Autorisation active	Procédure centralisée	Non commercialisée	
60599533	ABILIFY 5 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Commercialisée	
69174761	ABILIFY 5 mg, comprimé orodispersible	comprimé orodispersible	orale	Autorisation retirée	Procédure centralisée	Non commercialisée	
69641873	ABILIFY 7,5 mg/ml, solution injectable	solution injectable	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	
68729480	ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	
61063905	ABILIFY MAINTENA 300 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Non commercialisée	
60667087	ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Non commercialisée	
66706942	ABILIFY MAINTENA 400 mg, poudre et solvant pour suspension injectable à libération prolongée en seringue préremplie	poudre et  solvant pour suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	
63466449	ABILIFY MAINTENA 720 mg, suspension injectable à libération prolongée en seringue préremplie	suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	
67269958	ABILIFY MAINTENA 960 mg, suspension injectable à libération prolongée en seringue préremplie	suspension injectable à libération prolongée	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	
67002631	ABIRATERONE ACCORD 250 mg, comprimé	comprimé	orale	Autorisation active	Procédure centralisée	Non commercialisée	
60621442	ABIRATERONE ACCORD 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure centralisée	Commercialisée	
61954108	ABIRATERONE ACETATE ZYDUS 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0437027
65731907	ABIRATERONE ARROW 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0402284
65412934	ABIRATERONE BIOGARAN 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure de reconnaissance mutuelle	Commercialisée	0391428
63494797	ABIRATERONE CIPLA 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0395535
68633208	ABIRATERONE CRISTERS 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0430869
61760740	ABIRATERONE EG 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0424165
66962564	ABIRATERONE EUGIA 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0443561
66460184	ABIRATERONE EVOLUGEN 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure nationale	Commercialisée	0444232
68478448	ABIRATERONE KRKA 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure centralisée	Commercialisée	
62863978	ABIRATERONE MYLAN 1000 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure centralisée	Non commercialisée	
62375509	ABIRATERONE MYLAN 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure centralisée	Commercialisée	
67236328	ABIRATERONE OLPHA 250 mg, comprimé	comprimé	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0437070
68214142	ABIRATERONE OLPHA 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0437071
61209908	ABIRATERONE QILU 250 mg, comprimé	comprimé	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0424416
60932482	ABIRATERONE QILU 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0446095
60179700	ABIRATERONE REDDY PHARMA 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation archivée	Procédure décentralisée	Non commercialisée	0390869
67430062	ABIRATERONE SANDOZ 1000 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0438835
67365440	ABIRATERONE SANDOZ 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0439402
62211132	ABIRATERONE SUN 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0401973
60935770	ABIRATERONE SYNTHON 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Non commercialisée	0391544
63001674	ABIRATERONE TEVA 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0413140
65665802	ABIRATERONE ZENTIVA 500 mg, comprimé pelliculé	comprimé pelliculé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0437880
66829820	ABLAVAR 0,25 mmol/ml, solution injectable	solution injectable	intraveineuse	Autorisation abrogée	Procédure centralisée	Non commercialisée	
68739019	ABRAXANE 5 mg/mL, poudre pour dispersion injectable pour perfusion	poudre pour dispersion injectable pour perfusion	intraveineuse	Autorisation active	Procédure centralisée	Commercialisée	
62082709	ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
65675928	ABROTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation archivée	Enreg homéo (Proc. Nat.)	Non commercialisée	
67871676	ABROTANUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
62024766	ABROTANUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	granules et  crème et  solution en gouttes en gouttes	cutanée;orale;sublinguale	Autorisation archivée	Enreg homéo (Proc. Nat.)	Non commercialisée	
60990140	ABRYSVO, poudre et solvant pour solution injectable. Vaccin du virus respiratoire syncytial (bivalent, recombinant)	poudre et  solvant pour solution injectable	intramusculaire	Autorisation active	Procédure centralisée	Commercialisée	
62446415	ABSEAMED 10 000 UI/1 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
64746151	ABSEAMED 1000 UI/0,5 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
62446881	ABSEAMED 2000 UI/1 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
60533273	ABSEAMED 3000 UI/0,3 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
63070791	ABSEAMED 4000 UI/0,4 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
65212403	ABSEAMED 5000 UI/0,5 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
68260517	ABSEAMED 6000 UI/0,6 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
63773996	ABSEAMED 8000 UI/0,8 ml, solution injectable en seringue pré-remplie	solution injectable	intraveineuse;sous-cutanée	Autorisation active	Procédure centralisée	Non commercialisée	
67887449	ABSIMKY 130 mg, solution à diluer pour perfusion	solution à diluer pour perfusion	intraveineuse	Autorisation abrogée	Procédure centralisée	Non commercialisée	
69158401	ABSIMKY 45 mg, solution injectable en seringue préremplie	solution injectable	sous-cutanée	Autorisation abrogée	Procédure centralisée	Non commercialisée	
65063386	ABSIMKY 90 mg, solution injectable en seringue préremplie	solution injectable	sous-cutanée	Autorisation abrogée	Procédure centralisée	Non commercialisée	
64457435	ABSINTHIUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
60612094	ABSINTHIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
68336954	ABSTRAL 100 microgrammes, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0444713
67144513	ABSTRAL 200 microgrammes, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0444714
61464150	ABSTRAL 300 microgrammes, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0444715
60282999	ABSTRAL 400 microgrammes, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0444716
68138082	ABSTRAL 50 microgrammes, comprimé sublingual	comprimé	sublinguale	Autorisation archivée	Procédure décentralisée	Non commercialisée	0185568
63451714	ABSTRAL 600 microgrammes, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0444717
61578296	ABSTRAL 800 microgrammes, comprimé sublingual	comprimé	sublinguale	Autorisation active	Procédure décentralisée	Commercialisée	0444718
64728712	ABUFENE 400 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0429853
63185053	ACADIONE 250 mg, comprimé dragéifié	comprimé dragéifié	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0355075
67616978	ACAL, solution buvable en flacon	solution buvable	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	
62963238	ACALYPHA INDICA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH	 comprimé et solution(s) et granules et poudre et pommade	cutanée;orale;sublinguale	Autorisation active	Enreg homéo (Proc. Nat.)	Commercialisée	
69724187	ACAMPROSATE BIOGARAN 333 mg, comprimé pelliculé gastro-résistant	comprimé pelliculé gastro-résistant(e)	orale	Autorisation active	Procédure nationale	Commercialisée	0231125
69251617	ACAMPROSATE REF 333 mg, comprimé pelliculé gastro-résistant	comprimé pelliculé gastro-résistant(e)	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0231123
62767232	ACAMPROSATE SET 333 mg, comprimé pelliculé gastro-résistant	comprimé pelliculé gastro-résistant(e)	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0231124
60929194	ACAMPROSATE VIATRIS 333 mg, comprimé enrobé gastro-résistant	comprimé enrobé gastro-résistant(e)	orale	Autorisation active	Procédure nationale	Commercialisée	0437979
65555163	ACARBOSE ARROW 100 mg, comprimé	comprimé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0235903
61621192	ACARBOSE ARROW 100 mg, comprimé sécable	comprimé sécable	orale	Autorisation active	Procédure décentralisée	Commercialisée	0423241
69664434	ACARBOSE ARROW 50 mg, comprimé	comprimé	orale	Autorisation active	Procédure décentralisée	Commercialisée	0423240
63500136	ACARBOSE ARROW 50 mg, comprimé	comprimé	orale	Autorisation abrogée	Procédure nationale	Non commercialisée	0235904
68371745	ACARBOSE ARROW LAB 100 mg, comprimé	comprimé	orale	Autorisation abrogée	Procédure décentralisée	Non commercialisée	0411896
63958735	ACARBOSE ARROW LAB 50 mg, comprimé	comprimé	orale	Autorisation archivée	Procédure décentralisée	Non commercialisée	0411892
62833892	ACARBOSE BAYER 100 mg, comprimé sécable	comprimé sécable	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0258283
65714256	ACARBOSE BAYER 50 mg, comprimé	comprimé	orale	Autorisation archivée	Procédure nationale	Non commercialisée	0258284
64127672	ACARBOSE BIOGARAN 100 mg, comprimé sécable	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0292307
69116854	ACARBOSE BIOGARAN 50 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0292308
65803331	ACARBOSE EG 100 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0402732
61937888	ACARBOSE EG 50 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0402733
67093136	ACARBOSE SANDOZ 100 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0410294
69771614	ACARBOSE SANDOZ 50 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0404708
60946941	ACARBOSE VIATRIS 100 mg, comprimé sécable	comprimé sécable	orale	Autorisation active	Procédure nationale	Commercialisée	0419378
60989978	ACARBOSE VIATRIS 50 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0419377
67901945	ACARBOSE ZENTIVA 100 mg, comprimé sécable	comprimé sécable	orale	Autorisation active	Procédure nationale	Commercialisée	0416387
64493666	ACARBOSE ZENTIVA 50 mg, comprimé	comprimé	orale	Autorisation active	Procédure nationale	Commercialisée	0418578
