Generic Group	Route	Type	Specialty Name	EPI	EAN13
"Groupe générique : ACIDE GADOTERIQUE 0,5 MMOL / ML SOLUTION INJECTABLE"	PARENTERALE	G	"CLARISCAN 0,5 MMOL / ML SOLUTION INJECTABLE BOITE D'UN FLACON DE 10 ML"	CYCLOPHARMA	27037960641780
"Groupe générique : ACIDE GADOTERIQUE 0,5 MMOL / ML SOLUTION INJECTABLE"	PARENTERALE	G	"CLARISCAN 0,5 MMOL / ML SOLUTION INJECTABLE BOITE D'UN FLACON DE 15 ML"	CYCLOPHARMA	27037960641742
"Groupe générique : ACIDE GADOTERIQUE 0,5 MMOL / ML SOLUTION INJECTABLE"	PARENTERALE	G	"CLARISCAN 0,5 MMOL / ML SOLUTION INJECTABLE BOITE D'UN FLACON DE 20 ML"	CYCLOPHARMA	27037960641759
"Groupe générique : ACIDE GADOTERIQUE 0,5 MMOL / ML SOLUTION INJECTABLE"	PARENTERALE	G	"CYCLOLUX 0,5 MMOL / ML SOLUTION INJECTABLE OITE D'UN FLACON DE 10 ML"	PHARMAPROM	6118001350131
"Groupe générique : ACIDE GADOTERIQUE 0,5 MMOL / ML SOLUTION INJECTABLE"	PARENTERALE	G	"CYCLOLUX 0,5 MMOL / ML SOLUTION INJECTABLE OITE D'UN FLACON DE 15 ML"	PHARMAPROM	6118001350148
Groupe générique : ACIDE TIAPROFENIQUE 100 MG COMPRIME	ORALE	G	ATIAF 100 MG COMPRIME BOITE DE 10	PHARMED	-
Groupe générique : ACIDE TIAPROFENIQUE 100 MG COMPRIME	ORALE	G	ATIAF 100 MG COMPRIME BOITE DE 20	PHARMED	-
Groupe générique : ACIDE TIAPROFENIQUE 100 MG COMPRIME	ORALE	G	ATIAF 100 MG COMPRIME BOITE DE 30	PHARMED	6118000310976
Groupe générique : ACIDE TIAPROFENIQUE 100 MG COMPRIME	ORALE	G	MOLGAM 100 MG COMPRIME BOITE DE 10	PHARMA 5	6118000092018
Groupe générique : ACIDE TIAPROFENIQUE 100 MG COMPRIME	ORALE	G	MOLGAM 100 MG COMPRIME BOITE DE 20	PHARMA 5	6118000092025
Groupe générique : ACIDE TIAPROFENIQUE 100 MG COMPRIME	ORALE	G	MOLGAM 100 MG COMPRIME BOITE DE 30	PHARMA 5	6118000092032
Groupe générique : ACIDE ZOLEDRONIQUE 4 MG / 5 ML SOLUTION A DILUER POUR PERFUSION	PARENTERALE	G	ACIDE ZOLEDRONIQUE MYLAN 4 MG / 5 ML SOLUTION À DILUER POUR PERFUSION BOITE D'UN FLACON DE 5 ML	VIATRIS PHARMACEUTICALS	6118001430048
Groupe générique : ACIDE ZOLEDRONIQUE 4 MG / 5 ML SOLUTION A DILUER POUR PERFUSION	PARENTERALE	G	ACIDE ZOLEDRONIQUE PROMOPHARM 4 MG / 5 ML SOLUTION À DILUER POUR PERFUSION BOITE D'UN FLACON DE 5 ML	PROMOPHARM	6118001260843
Groupe générique : ACIDE ZOLEDRONIQUE 4 MG / 5 ML SOLUTION A DILUER POUR PERFUSION	PARENTERALE	G	ACIDE ZOLEDRONIQUE SP 4 MG / 5 ML SOLUTION À DILUER POUR PERFUSION BOITE D'UN FLACON DE 5 ML	AMANYS PHARMA	6118001330249
Groupe générique : ACIDE ZOLEDRONIQUE 4 MG / 5 ML SOLUTION A DILUER POUR PERFUSION	PARENTERALE	G	IMAGOS 4 MG / 5 ML SOLUTION A DILUER POUR PERFUSION BOITE D'UN FLACON DE 5 ML	SOTHEMA	6118000023524
Groupe générique : ACIDE ZOLEDRONIQUE 4 MG / 5 ML SOLUTION A DILUER POUR PERFUSION	PARENTERALE	G	IMAGOS 4 MG / 5 ML SOLUTION A DILUER POUR PERFUSION BOITE DE 4 FLACONS DE 5 ML	SOTHEMA	-
"Groupe générique : ALBENDAZOLE 0,4 G / 10 ML SUSPENSION BUVABLE"	ORALE	P	"ZENTEL 0,4 G / 10 ML SUSPENSION BUVABLE FLACON DE 10ML"	GSK	6118001141357
"Groupe générique : ALBENDAZOLE 0,4 G / 10 ML SUSPENSION BUVABLE"	ORALE	G	"AZOLE 0,4 G / 10 ML SUSPENSION BUVABLE FLACON DE 10ML"	PROMOPHARM	6118000240075
Groupe générique : ALFUZOSINE (CHLORHYDRATE) 10 MG COMPRIME A LIBERATION PROLONGEE	ORALE	G	FLOTRAL 10 MG COMPRIME A LIBERATION PROLONGEE BOITE DE 10	SUN PHARMA	6118001300143
Groupe générique : ALFUZOSINE (CHLORHYDRATE) 10 MG COMPRIME A LIBERATION PROLONGEE	ORALE	G	FLOTRAL 10 MG COMPRIME A LIBERATION PROLONGEE BOITE DE 30	SUN PHARMA	6118001300150
Groupe générique : ALFUZOSINE (CHLORHYDRATE) 10 MG COMPRIME A LIBERATION PROLONGEE	ORALE	G	IPROST LP 10 MG COMPRIME A LIBERATION PROLONGEE BOITE DE 10	SOTHEMA	6118001071531
Groupe générique : ALFUZOSINE (CHLORHYDRATE) 10 MG COMPRIME A LIBERATION PROLONGEE	ORALE	G	IPROST LP 10 MG COMPRIME A LIBERATION PROLONGEE BOITE DE 30	SOTHEMA	6118001071548
Groupe générique : ALLOPURINOL 100 MG COMPRIME	ORALE	P	ZYLORIC 100 MG COMPRIME BOITE DE 100	SOTHEMA	6118000022268
Groupe générique : ALLOPURINOL 100 MG COMPRIME	ORALE	G	LYSOPURIC 100 MG COMPRIME BOITE DE 100	GALENICA	-
Groupe générique : ALLOPURINOL 100 MG COMPRIME	ORALE	G	LYSOPURIC 100 MG COMPRIME BOITE DE 50	GALENICA	6118000190561
Groupe générique : ALLOPURINOL 100 MG COMPRIME	ORALE	G	PURINOL 100 MG COMPRIME BOITE DE 28	PHARMA 5	6118000091905
Groupe générique : ALPHA-AMYLASE 200 UCEIP / ML SIROP	ORALE	P	MAXILASE 200 UCEIP / ML SIROP FLACON DE 125 ML	LAPROPHAN	6118001121106
Groupe générique : ALPHA-AMYLASE 200 UCEIP / ML SIROP	ORALE	G	BIOMYLASE 200 UCEIP / ML SIROP FLACON DE 125 ML	POLYMEDIC	6118000120759
Groupe générique : ALPHA-AMYLASE 200 UCEIP / ML SIROP	ORALE	G	BIOMYLASE 200 UCEIP / ML SIROP FLACON DE 250 ML	POLYMEDIC	6118000120742
"Groupe générique : ALPRAZOLAM 0,5 MG COMPRIME SECABLE"	ORALE	P	"XANAX 0,5 MG COMPRIME SECABLE BOITE DE 30"	COOPER PHARMA	6118000081364
"Groupe générique : ALPRAZOLAM 0,5 MG COMPRIME SECABLE"	ORALE	G	"ALPRAZOLAM MAPHAR 0,5 MG COMPRIME SECABLE BOITE DE 28"	MAPHAR	6118000013242
Groupe générique : ALUMINIUM (HYDROXYDE) // HYDROXYDE DE MAGNESIUM 400 MG / 400 MG COMPRIME A CROQUER	ORALE	G	NEUTRAL 400 MG / 400 MG COMPRIME A CROQUER BOITE DE 20	LAPROPHAN	6118000031703
Groupe générique : ALUMINIUM (HYDROXYDE) // HYDROXYDE DE MAGNESIUM 400 MG / 400 MG COMPRIME A CROQUER	ORALE	G	NEUTRAL 400 MG / 400 MG COMPRIME A CROQUER BOITE DE 40	LAPROPHAN	6118000030379
"Groupe générique : AMBROXOL 15 MG / 5 ML 0,3% SIROP"	ORALE	G	"BROCLAR 15 MG / 5 ML 0,3% SIROP FLACON DE 200ML"	SPIMACO MAROC	6118000210085
"Groupe générique : AMBROXOL 15 MG / 5 ML 0,3% SIROP"	ORALE	G	"FLUIBRON 15 MG / 5 ML 0,3% SIROP FLACON DE 200ML"	PROMOPHARM	6118000240426
Groupe générique : AMIKACINE 500 MG / 2 ML SOLUTION POUR INJECTION IM/IV	PARENTERALE	G	LIKACIN 500 MG / 2 ML SOLUTION POUR INJECTION IM/IV BOITE DE 1 FLACON DE 2 ML	SOLUDIA MAGHREB	6118001360055
Groupe générique : AMIKACINE 500 MG / 2 ML SOLUTION POUR INJECTION IM/IV	PARENTERALE	G	LIKACIN 500 MG / 2 ML SOLUTION POUR INJECTION IM/IV BOITE DE 50 FLACONS DE 2 ML	SOLUDIA MAGHREB	6118001360062
Groupe générique : AMISULPRIDE 100 MG COMPRIME	ORALE	G	ALPERIDE 100 MG COMPRIME BOITE DE 30	POLYMEDIC	6118000120872
Groupe générique : AMISULPRIDE 100 MG COMPRIME	ORALE	G	AMIAN 100 MG COMPRIME BOITE DE 30	ZENITH PHARMA	6118000331353
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	P	AMLOR 10 MG COMPRIME BOITE DE 28	VIATRIS PHARMACEUTICALS	6118000480044
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	AM-10 10 MG COMPRIME BOITE DE 20	STERIPHARMA	6118000280644
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	PIMLOR 10 MG COMPRIME BOITE DE 14	PHARMA 5	6118000093275
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	OLMADIP 10 MG COMPRIME BOITE DE 28	SPIMACO MAROC	6118000210245
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	NORTEUS 10 MG COMPRIME BOITE DE 28	PHARMED	-
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	NORTEUS 10 MG COMPRIME BOITE DE 14	PHARMED	-
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	MIBRAL 10 MG COMPRIME BOITE DE 30	ATLAS PHARM	6118000420194
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	MEDEP 10 MG COMPRIME BOITE DE 28	GYNEBIO PHARMA	6118000270287
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	MEDEP 10 MG COMPRIME BOITE DE 14	GYNEBIO PHARMA	6118000270270
Groupe générique : AMLODIPINE 10 MG COMPRIME	ORALE	G	LODIPINE GALENICA 10 MG COMPRIME BOITE DE 30	GALENICA	6118000191407
