Generic Group	Route	Type	Specialty Name	EPI	EAN13
Groupe générique : ARGININE (CHLORHYDRATE) 3 G / CUIL SOUPE SOLUTION BUVABLE EN FLACON	ORALE	G	ARGININE VEYRON 3 G / CUIL SOUPE SOLUTION BUVABLE EN FLACON FLACON DE 125 ML	NOVOPHARMA	6118000140047
Groupe générique : ARGININE (CHLORHYDRATE) 3 G / CUIL SOUPE SOLUTION BUVABLE EN FLACON	ORALE	G	ARGININE VEYRON 3 G / CUIL SOUPE SOLUTION BUVABLE EN FLACON FLACON DE 250ML	NOVOPHARMA	6118000140054
Groupe générique : ATENOLOL 100 MG COMPRIME	ORALE	G	ATENOR 100 MG COMPRIME BOITE DE 14	POLYMEDIC	6118000120056
Groupe générique : ATENOLOL 100 MG COMPRIME	ORALE	G	ATENOR 100 MG COMPRIME BOITE DE 28	POLYMEDIC	6118000120063
Groupe générique : ATENOLOL 100 MG COMPRIME	ORALE	G	ATENOR 100 MG COMPRIME BOITE DE 56	POLYMEDIC	6118000120070
Groupe générique : ATENOLOL 100 MG COMPRIME	ORALE	G	NORMATENS 100 MG COMPRIME BOITE DE 30	SPIMACO MAROC	6118000210092
Groupe générique : ATENOLOL 100 MG COMPRIME	ORALE	G	TENOCAN 100 MG COMPRIME BOITE DE 28	PHARMED	6118000310297
Groupe générique : ATORVASTATINE 10 MG COMPRIME ENROBE	ORALE	G	GENSTAT 10 MG COMPRIME ENROBE BOITE DE 14	GENPHARMA	6118000131120
Groupe générique : ATORVASTATINE 10 MG COMPRIME ENROBE	ORALE	G	GENSTAT 10 MG COMPRIME ENROBE BOITE DE 28	GENPHARMA	6118000131137
Groupe générique : ATORVASTATINE 10 MG COMPRIME ENROBE	ORALE	G	TORVA 10 MG COMPRIME ENROBE BOITE DE 15	NOVOPHARMA	6118000140795
Groupe générique : ATORVASTATINE 10 MG COMPRIME ENROBE	ORALE	G	TORVA 10 MG COMPRIME ENROBE BOITE DE 30	NOVOPHARMA	6118000140702
Groupe générique : ATORVASTATINE CALCIUM TRIHYDRATE 10 MG COMPRIME PELLICULE	ORALE	G	LIPTORVA 10 MG COMPRIME PELLICULE BOITE DE 28	PHARMA 5	6118000095002
Groupe générique : ATORVASTATINE CALCIUM TRIHYDRATE 10 MG COMPRIME PELLICULE	ORALE	G	LIPTORVA 10 MG COMPRIME PELLICULE BOITE DE 56	PHARMA 5	-
Groupe générique : ATORVASTATINE CALCIUM TRIHYDRATE 10 MG COMPRIME PELLICULE	ORALE	G	STANORM 10 MG COMPRIME PELLICULE BOITE DE 10	ZENITH PHARMA	-
Groupe générique : ATORVASTATINE CALCIUM TRIHYDRATE 10 MG COMPRIME PELLICULE	ORALE	G	STANORM 10 MG COMPRIME PELLICULE BOITE DE 30	ZENITH PHARMA	6118000331568
Groupe générique : AZITHROMYCINE 100 MG SACHET	ORALE	G	MACROMAX 100 MG SACHET BOITE DE 3	PHARMA 5	6118000091875
Groupe générique : AZITHROMYCINE 100 MG SACHET	ORALE	G	MAZAX 100 MG SACHET BOITE DE 3	PHARMED	-
Groupe générique : BECLOMETHASONE 250 µG / DOSE SUSPENSION POUR INHALATION	RESPIRATOIRE	G	AIRCORT 250 µG / DOSE SUSPENSION POUR INHALATION FLACON DE 200 DOSES	CIPLA	6118001100699
Groupe générique : BECLOMETHASONE 250 µG / DOSE SUSPENSION POUR INHALATION	RESPIRATOIRE	G	CLENIL FORTE 250 µG / DOSE SUSPENSION POUR INHALATION FLACON DE 200 DOSES	PROMOPHARM	6118000241201
Groupe générique : BENFOTIAMINE 100 MG COMPRIME DRAGEFIE	ORALE	P	VITANEVRIL FORT COMPRIME DRAGEFIE BOITE DE 30	SYNTHEMEDIC	6118000180593
Groupe générique : BENFOTIAMINE 100 MG COMPRIME DRAGEFIE	ORALE	G	NERVITON 100 MG COMPRIME DRAGEFIE BOITE DE 30	SYNTHEMEDIC	6118000181026
Groupe générique : BICALUTAMIDE 150 MG COMPRIME PELLICULE	ORALE	G	BICALUTAMIDE ZENITH 150 MG COMPRIME PELLICULE BOITE DE 10	ZENITH PHARMA	-
Groupe générique : BICALUTAMIDE 150 MG COMPRIME PELLICULE	ORALE	G	BICALUTAMIDE ZENITH 150 MG COMPRIME PELLICULE BOITE DE 30	ZENITH PHARMA	-
Groupe générique : BICALUTAMIDE 150 MG COMPRIME PELLICULE	ORALE	G	PROTADEX 150 MG COMPRIME PELLICULE BOITE DE 28	BOTTU	-
Groupe générique : BICARBONATE DE SODIUM // CHLORURE DE SODIUM - CONCENTRE LIQUIDE D'HEMODIALYSE	PARENTERALE	P	DIALYSOL BICARBONATE CONCENTRE LIQUIDE D'HEMODIALYSE BIDON DE 5 L	SOLUDIA MAGHREB	6118000260905
Groupe générique : BICARBONATE DE SODIUM // CHLORURE DE SODIUM - CONCENTRE LIQUIDE D'HEMODIALYSE	PARENTERALE	I	DIALYSOL BICARBONATE SOLUTION CONCENTRE POUR HEMODIALYSE BIDON DE 10 L	SOLUDIA MAGHREB	6118000260011
Groupe générique : BISOPROLOL 10 MG COMPRIME PELLICULE SECABLE	ORALE	G	BISOCARD 10 MG COMPRIME PELLICULE SECABLE BOITE DE 10	ZENITH PHARMA	-
Groupe générique : BISOPROLOL 10 MG COMPRIME PELLICULE SECABLE	ORALE	G	BISOCARD 10 MG COMPRIME PELLICULE SECABLE BOITE DE 30	ZENITH PHARMA	6118000331834
Groupe générique : BISOPROLOL (HEMIFUMARATE) 10 MG COMPRIME PELLICULE	ORALE	P	DETENSIEL 10 MG COMPRIME PELLICULE BOITE DE 30	COOPER PHARMA	6118001101788
Groupe générique : BISOPROLOL (HEMIFUMARATE) 10 MG COMPRIME PELLICULE	ORALE	G	BIPROL POLYMEDIC 10 MG COMPRIME PELLICULE BOITE DE 30	POLYMEDIC	6118001200825
"Groupe générique : BORTEZOMIB 3,5 MG POUDRE POUR SOLUTION INJECTABLE"	PARENTERALE	G	"CYTOMIB 3,5 MG POUDRE POUR SOLUTION INJECTABLE BOITE DE 1 FLACON DE 10 ML"	PHARMAPROM	6118001350223
"Groupe générique : BORTEZOMIB 3,5 MG POUDRE POUR SOLUTION INJECTABLE"	PARENTERALE	G	"MYBORTE 3,5 MG POUDRE POUR SOLUTION INJECTABLE BOITE DE 1 FLACON"	AXESS PHARMA	6118001072798
"Groupe générique : BORTEZOMIB 3,5 MG POUDRE POUR SOLUTION INJECTABLE"	PARENTERALE	G	BORT SPAL 3.5 MG POUDRE POUR SOLUTION INJECTABLE BOITE DE 1 FLACON	BOTTU	6118001041596
"Groupe générique : BORTEZOMIB 3,5 MG POUDRE POUR SOLUTION INJECTABLE"	PARENTERALE	G	BORTEA 3.5 MG POUDRE POUR SOLUTION INJECTABLE BOITE DE 1 FLACON	AMANYS PHARMA	6118001330836
Groupe générique : BOSENTAN MONOHYDRATE 125 MG COMPRIME PELLICULE	ORALE	G	RANCLEER 125 MG COMPRIMES PELLICULES BOITE DE 30	SUN PHARMA	-
Groupe générique : BOSENTAN MONOHYDRATE 125 MG COMPRIME PELLICULE	ORALE	G	RANCLEER 125 MG COMPRIMES PELLICULES BOITE DE 60	SUN PHARMA	-
Groupe générique : BROMURE DE PINAVERIUM 100 MG COMPRIME PELLICULE	ORALE	P	DICETEL 100 MG COMPRIME PELLICULE BOITE DE 30	MAPHAR	6118000013129
Groupe générique : BROMURE DE PINAVERIUM 100 MG COMPRIME PELLICULE	ORALE	G	PINO 100 MG COMPRIME PELLICULE BOITE DE 30	SUN PHARMACEUTICALS NORTH AFRICA SA	6118000440291
Groupe générique : CAPECITABINE 500 MG COMPRIME PELLICULE	ORALE	P	XELODA 500 MG COMPRIME PELLICULE BOITE DE 120	BOTTU	6118001050604
Groupe générique : CAPECITABINE 500 MG COMPRIME PELLICULE	ORALE	G	CAPECITABINE ACCORD 500 MG COMPRIME PELLICULE BOITE DE 120	VIATRIS PHARMACEUTICALS	6118001430222
Groupe générique : CAPECITABINE 500 MG COMPRIME PELLICULE	ORALE	G	CAPECITABINE MYLAN 500 MG COMPRIME PELLICULE BOITE DE 120	VIATRIS PHARMACEUTICALS	-
Groupe générique : CAPECITABINE 500 MG COMPRIME PELLICULE	ORALE	G	DIROGIT 500 MG COMPRIME PELLICULE BOITE DE 120	PROMOPHARM	6118001260836
Groupe générique : CAPECITABINE 500 MG COMPRIME PELLICULE	ORALE	G	XEPINE 500 MG COMPRIME PELLICULE BOITE DE 120	ZENITH PHARMA	6118001271757
Groupe générique : CAPTOPRIL 25 MG COMPRIME	ORALE	G	CONVERTAL 25 MG COMPRIME BOITE DE 30	ATLAS PHARM	6118000070351
Groupe générique : CAPTOPRIL 25 MG COMPRIME	ORALE	G	HIPOTENSIL 25 MG COMPRIME BOITE DE 30	AFRIC PHAR	6118000071280
Groupe générique : CARBAMAZEPINE 200 MG COMPRIME	ORALE	G	ALEPSIA 200 MG COMPRIME BOITE DE 50	ZENITH PHARMA	6118000330561
Groupe générique : CARBAMAZEPINE 200 MG COMPRIME	ORALE	G	CARBAMAZEPINE NORMON 200 MG COMPRIME BOITE DE 50	IBERMA	6118000230434
"Groupe générique : CARBOCISTEINE 0,02 SIROP"	ORALE	P	"RHINATHIOL ENF 0,02 SIROP FLACON DE 125 ML"	MAPHAR	6118000011392
"Groupe générique : CARBOCISTEINE 0,02 SIROP"	ORALE	G	"BRONCHATHIOL ENFANT 0,02 SIROP FLACON DE 125 ML"	BOTTU	6118000040149
"Groupe générique : CARBOCISTEINE 0,02 SIROP"	ORALE	G	"BRONCHOCIST ENFANT 0,02 SIROP FLACON DE 125 ML"	SYNTHEMEDIC	6118000180050
"Groupe générique : CARBOCISTEINE 0,02 SIROP"	ORALE	G	"MUCOCIL ENFANT 0,02 SIROP FLACON DE 125 ML"	GALENICA	6118000190592
Groupe générique : CARVEDILOL 25 MG COMPRIME	ORALE	P	DILATREND 25 MG COMPRIME BOITE DE 30	BOTTU	6118001050093
Groupe générique : CARVEDILOL 25 MG COMPRIME	ORALE	G	CARDIX 25 MG COMPRIME BOITE DE 28	PHI	6118000050582
Groupe générique : CARVEDILOL 25 MG COMPRIME	ORALE	G	CELENO 25 MG COMPRIME Boite de 30	PHARMIS	6118000400066
Groupe générique : CARVEDILOL 25 MG COMPRIME	ORALE	G	CORONAT 25 MG COMPRIME BOITE DE 30	ATLAS PHARM	6118001380244
Groupe générique : CARVEDILOL 25 MG COMPRIME	ORALE	G	XEDILOL 25 MG COMPRIME BOITE DE 30	SOTHEMA	6118000021773
Groupe générique : CEFACLOR 125 MG / 5 ML GRANULE POUR SUSPENSION BUVABLE	ORALE	P	ALFATIL 125 MG / 5 ML GRANULE POUR SUSPENSION BUVABLE FLACON DE 60 ML	SOTHEMA	6118000021667
Groupe générique : CEFACLOR 125 MG / 5 ML GRANULE POUR SUSPENSION BUVABLE	ORALE	G	CLORACEF 125 MG / 5 ML GRANULE POUR SUSPENSION BUVABLE FLACON DE 60 ML	SOTHEMA	6118000021117
Groupe générique : CEFIXIME 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE	ORALE	G	CEFICO 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE FLACON DE 30 ML	COOPER PHARMA	6118000083146
Groupe générique : CEFIXIME 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE	ORALE	G	CEFICO 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE FLACON DE 60 ML	COOPER PHARMA	6118000083153
Groupe générique : CEFIXIME 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE	ORALE	G	SEPRIM 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE BOITE DE 2 FLACONS	PHARMA 5	-
Groupe générique : CEFIXIME 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE	ORALE	G	SEPRIM 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE BOITE D'UN FLACON	PHARMA 5	-
Groupe générique : CEFIXIME TRIHYDRATE 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE	ORALE	P	OROKEN ENFANTS 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE FLACON DE 40ML	MAPHAR	6118001186051
Groupe générique : CEFIXIME TRIHYDRATE 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE	ORALE	G	OFIKEN 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE FLACON DE 30 ML	SOTHEMA	6118000022350
Groupe générique : CEFIXIME TRIHYDRATE 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE	ORALE	G	OFIKEN 100 MG / 5 ML POUDRE POUR SUSPENSION BUVABLE FLACON DE 60 ML	SOTHEMA	6118000022367
Groupe générique : CEFPODOXIME PROXETIL 100 MG COMPRIME PELLICULE	ORALE	P	ORELOX 100 MG COMPRIME PELLICULE BOITE DE 10	SOTHEMA	6118001073610
Groupe générique : CEFPODOXIME PROXETIL 100 MG COMPRIME PELLICULE	ORALE	G	OCEDOX 100 MG COMPRIME PELLICULE BOITE DE 10	PHARMA 5	6118000096276
Groupe générique : CEFPODOXIME PROXETIL 100 MG COMPRIME PELLICULE	ORALE	G	OCEDOX 100 MG COMPRIME PELLICULE BOITE DE 20	PHARMA 5	-
Groupe générique : CEFTRIAXONE (SODIQUE) 1 G / 10 ML SOLUTION INJECTABLE (IV)	PARENTERALE	G	TRIAXON 1 G / 10 ML SOLUTION INJECTABLE (IV) BOITE DE 1+1 FL	COOPER PHARMA	6118000081258
Groupe générique : CEFTRIAXONE (SODIQUE) 1 G / 10 ML SOLUTION INJECTABLE (IV)	PARENTERALE	G	TRIAXON 1 G / 10 ML SOLUTION INJECTABLE (IV) BOITE DE 10+10 FL	COOPER PHARMA	-
Groupe générique : CEFUROXIME 125 MG COMPRIME PELLICULE	ORALE	G	DICEF 125 MG COMPRIME PELLICULE BOITE DE 10	PHARMA 5	-
Groupe générique : CEFUROXIME 125 MG COMPRIME PELLICULE	ORALE	G	DICEF 125 MG COMPRIME PELLICULE BOITE DE 20	PHARMA 5	-
Groupe générique : CEFUROXIME (SODIQUE) 750 MG POUDRE POUR SOLUTION INJECTABLE	PARENTERALE	P	ZINNAT 750 MG POUDRE POUR SOLUTION INJECTABLE BOITE DE 1 FLACON	GSK	6118001141791
Groupe générique : CEFUROXIME (SODIQUE) 750 MG POUDRE POUR SOLUTION INJECTABLE	PARENTERALE	G	ZINOXIME 750 MG POUDRE POUR SOLUTION INJECTABLE BOITE DE 1 FLACON	ZENITH PHARMA	6118001271122
Groupe générique : CEFUROXIME AXETIL 125 MG COMPRIME PELLICULE	ORALE	P	ZINNAT 125 MG COMPRIME PELLICULE BOITE DE 10	GSK	6118001141401
Groupe générique : CEFUROXIME AXETIL 125 MG COMPRIME PELLICULE	ORALE	G	CEFUTIL 125 MG COMPRIME PELLICULE BOITE DE 10	SOTHEMA	6118000022442
Groupe générique : CELECOXIB 100 MG GELULE	ORALE	P	CELEBREX 100 MG GELULE BOITE DE 20	VIATRIS PHARMACEUTICALS	6118000250074
Groupe générique : CELECOXIB 100 MG GELULE	ORALE	G	CELEPHI 100 MG GELULE BOITE DE 20	PHI	6118000051602
Groupe générique : CELECOXIB 100 MG GELULE	ORALE	G	ISOX 100 MG GELULES BOITE DE 20	PROMOPHARM	6118000242420
Groupe générique : CELECOXIB 100 MG GELULE	ORALE	G	VOXCIB 100 MG GELULE BOITE DE 20	NOVOPHARMA	6118000140658
Groupe générique : CETIRIZINE 10 MG COMPRIME PELLICULE	ORALE	G	OZEN 10 MG COMPRIME PELLICULE BOITE DE 14	SPIMACO MAROC	6118000210269
Groupe générique : CETIRIZINE 10 MG COMPRIME PELLICULE	ORALE	G	OZEN 10 MG COMPRIME PELLICULE BOITE DE 28	SPIMACO MAROC	6118000210276
Groupe générique : CETIRIZINE 10 MG COMPRIME PELLICULE	ORALE	G	OZEN 10 MG COMPRIME PELLICULE BOITE DE 7	SPIMACO MAROC	6118000210252
Groupe générique : CETIRIZINE (DICHLORHYDRATE) 1 MG / ML SOLUTION BUVABLE	ORALE	P	ZYRTEC 1 MG / ML SOLUTION BUVABLE FLACON DE 60 ML	SOTHEMA	6118000020172
Groupe générique : CETIRIZINE (DICHLORHYDRATE) 1 MG / ML SOLUTION BUVABLE	ORALE	G	CETIRAL 1 MG / ML SOLUTION BUVABLE FLACON DE 60 ML	AFRIC PHAR	6118000071402
Groupe générique : CHARBON ACTIVE // DIMETICONE 140 MG / 45 MG GELULE	ORALE	G	CARBOSYLANE 140 MG / 45 MG GELULE BOITE DE 48	SOTHEMA	6118001070886
Groupe générique : CHARBON ACTIVE // DIMETICONE 140 MG / 45 MG GELULE	ORALE	G	CARBOSYLANE 140 MG / 45 MG GELULE BOITE DE 96	SOTHEMA	6118001070893
"Groupe générique : CHLORMADINONE (ACETATE) // ETHINYLESTRADIOL 2 MG / 0,03 MG COMPRIME PELLICULE"	ORALE	P	"BELARA 2 MG / 0,03 MG COMPRIME PELLICULE BOITE DE 21"	BOTTU	6118001040360
"Groupe générique : CHLORMADINONE (ACETATE) // ETHINYLESTRADIOL 2 MG / 0,03 MG COMPRIME PELLICULE"	ORALE	G	"GYSELLE 2 MG / 0,03 MG COMPRIME PELLICULE BOITE DE 63"	VERSALYA	6118001440030
Groupe générique : CHLORPROMAZINE 100 MG COMPRIME PELLICULE	ORALE	P	LARGACTIL 100 MG COMPRIME PELLICULE BOITE DE 30	MAPHAR	6118000012375
Groupe générique : CHLORPROMAZINE 100 MG COMPRIME PELLICULE	ORALE	G	CHLORPROMAZINE PHARMA 5 100 MG COMPRIME PELLICULE BOITE DE 30	PHARMA 5	-
"Groupe générique : CHLORTETRACYCLINE (CHLORHYDRATE) 0,03 POMMADE"	DERMIQUE	G	"AUREOMYCINE 0,03 POMMADE TUBE DE 15 G"	PROMOPHARM	6118000240051
"Groupe générique : CHLORTETRACYCLINE (CHLORHYDRATE) 0,03 POMMADE"	DERMIQUE	G	"AUREOMYCINE THERAPLIX 0,03 POMMADE TUBE DE 15 G"	POLYMEDIC	6118000120261
"Groupe générique : CHLORTETRACYCLINE (CHLORHYDRATE) 0,03 POMMADE"	DERMIQUE	G	"CHLORTETRACYCLINE 0,03 POMMADE TUBE DE 15 G"	LAPROPHAN	6118000030140
"Groupe générique : CHLORURE DE SODIUM 0,009 SOLUTE INJECTABLE POCHE SOUPLE FLIP OFF EN PVC PLASTIFIEE"	PARENTERALE	G	"CHLORURE DE SODIUM GENERATION SANTE 0,009 SOLUTE INJECTABLE POCHE SOUPLE FLIP OFF EN PVC PLASTIFIE DE 100 ML"	GENERATION SANTE	6118000350095
"Groupe générique : CHLORURE DE SODIUM 0,009 SOLUTE INJECTABLE POCHE SOUPLE FLIP OFF EN PVC PLASTIFIEE"	PARENTERALE	G	"CHLORURE DE SODIUM GENERATION SANTE 0,009 SOLUTE INJECTABLE POCHE SOUPLE FLIP OFF EN PVC PLASTIFIE DE 1000 ML"	GENERATION SANTE	6118000350125
"Groupe générique : CHLORURE DE SODIUM 0,009 SOLUTE INJECTABLE POCHE SOUPLE FLIP OFF EN PVC PLASTIFIEE"	PARENTERALE	G	"CHLORURE DE SODIUM GENERATION SANTE 0,009 SOLUTE INJECTABLE POCHE SOUPLE FLIP OFF EN PVC PLASTIFIE DE 500 ML"	GENERATION SANTE	6118000350118
Groupe générique : CHLORURE DE SODIUM // BICARBONATE DE SODIUM 59 MMOLES / LITRES SOLUTE CONCENTRE BICARBONATE POUR HEMODIALYSE	PARENTERALE	I	EM 59 59 MMOLES / LITRES SOLUTE CONCENTRE BICARBONATE POUR HEMODIALYSE BIDON DE 10 L	ERGO MAROC S.A	611800270034
Groupe générique : CHLORURE DE SODIUM // BICARBONATE DE SODIUM 59 MMOLES / LITRES SOLUTE CONCENTRE BICARBONATE POUR HEMODIALYSE	PARENTERALE	I	EM 59 59 MMOLES / LITRES SOLUTE CONCENTRE BICARBONATE POUR HEMODIALYSE BIDON DE 5 L	ERGO MAROC S.A	611800270033
Groupe générique : CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // SOLUTION D'ACIDE ACETIQUE - CONCENTRE LIQUIDE D'HEMODIALYSE	PARENTERALE	I	DIALYSOL ACIDE CONCENTRE LIQUIDE D'HEMODIALYSE BIDON DE 5 L	SOLUDIA MAGHREB	6118000260219
Groupe générique : CHLORURE DE SODIUM // CHLORHEXIDINE DIGLUCONATE // CHLORURE DE MAGNESIUM HEXAHYDRATE // CHLORURE DE POTASSIUM // SOLUTION D'ACIDE ACETIQUE - CONCENTRE LIQUIDE D'HEMODIALYSE	PARENTERALE	I	DIALYSOL ACIDE CONCENTRE LIQUIDE D'HEMODIALYSE CUVE 1000 L	SOLUDIA MAGHREB	611800026067
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR AG6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE BIDON 10000 ML	HEMOLAB PHARMA	6118000320340
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR AG6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE BIDON 5000 ML	HEMOLAB PHARMA	6118000320364
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR AG6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE BIDON 6000 ML	HEMOLAB PHARMA	6118000320357
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR AG6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE TRANSCUVE 1000 L	HEMOLAB PHARMA	6118000320333
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE - SOLUTE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR A1 SOLUTE POUR HEMODIALYSE BIDON DE 5 L	HEMOLAB PHARMA	6118000320371
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE - SOLUTE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR A1 SOLUTE POUR HEMODIALYSE BIDON DE 6 L	HEMOLAB PHARMA	6118000320388
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE - SOLUTE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR A2 SOLUTE POUR HEMODIALYSE BIDON DE 10 L	HEMOLAB PHARMA	6118000320142
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE - SOLUTE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR A2 SOLUTE POUR HEMODIALYSE BIDON DE 6 L	HEMOLAB PHARMA	6118000320135
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // CHLORURE DE MAGNESIUM // ACIDE ACETIQUE - SOLUTE POUR HEMODIALYSE	PARENTERALE	G	HEMO-PUR A5 SOLUTE POUR HEMODIALYSE BIDON DE 10 L	HEMOLAB PHARMA	6118000320609
"Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // SODIUM LACTATE 26,85 MG / 40 MG / 600 MG / 310 MG SOLUTION INJECTABLE"	PARENTERALE	G	"RINGER LACTATE LAPROPHAN 26,85 MG / 40 MG / 600 MG / 310 MG SOLUTION INJECTABLE BOITE DE 1 FLACON DE 250ML"	LAPROPHAN	6118000031932
"Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE CALCIUM // SODIUM LACTATE 26,85 MG / 40 MG / 600 MG / 310 MG SOLUTION INJECTABLE"	PARENTERALE	G	"RINGER LACTATE LAPROPHAN 26,85 MG / 40 MG / 600 MG / 310 MG SOLUTION INJECTABLE BOITE DE 1 FLACON DE 500 ML"	LAPROPHAN	6118000030447
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM // ACIDE ACETIQUE - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE	PARENTERALE	G	HEMO-PUR A6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE BIDON DE 10 L	HEMOLAB PHARMA	-
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM // ACIDE ACETIQUE - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE	PARENTERALE	G	HEMO-PUR A6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE BIDON DE 5 L	HEMOLAB PHARMA	-
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM // ACIDE ACETIQUE - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE	PARENTERALE	G	HEMO-PUR A6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE BIDON DE 6 L	HEMOLAB PHARMA	-
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM // ACIDE ACETIQUE - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE	PARENTERALE	G	HEMO-PUR A6 SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE TRANSCUVE DE 1000 ML	HEMOLAB PHARMA	-
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM // ACIDE ACETIQUE // ACIDE ACETIQUE - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE	PARENTERALE	G	HEMO-PUR AG SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE BIDON DE 10 L	HEMOLAB PHARMA	6118000320302
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM // ACIDE ACETIQUE // ACIDE ACETIQUE - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE	PARENTERALE	G	HEMO-PUR AG SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE BIDON DE 6 L	HEMOLAB PHARMA	6118000320296
Groupe générique : CHLORURE DE SODIUM // CHLORURE DE POTASSIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM // ACIDE ACETIQUE // ACIDE ACETIQUE - SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE	PARENTERALE	G	HEMO-PUR AG SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE AVEC BICARBONATE TRANSCUVE BIDON DE 1000 L	HEMOLAB PHARMA	6118000320319
